Data Download for where-do-they-struggle,,,,
CSV from: ,https://csusuccess.dashboards.calstate.edu/faculty-dashboard/where-do-they-struggle,,,
Humboldt,*All Colleges,By Department,*All Departments,2023 - Fall
,,,,
"""Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students""",,,,
Year Term,Course Code,Course Title,Enrollment,Number Non-passing
2023 - Fall,FOR130,Dendrology,49,1
2023 - Fall,FOR131,Forest Ecology,46,3
2023 - Fall,FOR170,"Conclave,  Logging Sprts Cmptn",74,0
2023 - Fall,FOR210,Forest Measurements,75,8
2023 - Fall,FOR222,Forest Health and Protection,40,3
2023 - Fall,FOR250,Intro To Forest Operations,47,1
2023 - Fall,FOR315,Forest Management,51,4
2023 - Fall,FOR359,Ca and Us Forest and Wildland,70,1
2023 - Fall,FOR374,Wilderness Area Management,30,3
2023 - Fall,FOR430,Forest Ecosystems,22,2
2023 - Fall,FOR432,Silviculture,51,2
2023 - Fall,FOR471,Forest Administration,58,1
2023 - Fall,FOR475,Forest Mgmt Decision Making,28,2
2023 - Fall,FOR479W,Forestry Capstone,18,1
2023 - Fall,FREN100,Enlgtmt and Pst-Colnlsm,41,4
2023 - Fall,FREN105,French Level I,11,2
2023 - Fall,FREN340,La Musique Francophone Engagée,10,0
2023 - Fall,FREN390,Topic Cinema Francophone World,11,1
2023 - Fall,GEOG105,Cultural Geography,29,1
2023 - Fall,GEOG106,Physical Geography,42,7
2023 - Fall,GEOG300,Global Awareness,57,10
2023 - Fall,GEOG304,Migrations and Mosaics,36,6
2023 - Fall,GEOG310L,Geographic Research Laboratory,16,2
2023 - Fall,GEOG311,Geographic Research and Writin,16,1
2023 - Fall,GEOG472,China and Tibet,17,2
2023 - Fall,GEOG472M,China and Tibet,17,1
2023 - Fall,GEOL103,The Water Planet,39,6
2023 - Fall,GEOL106,Earthquake Country,50,7
2023 - Fall,GEOL109,General Geology,36,1
2023 - Fall,GEOL303,Earth Resourc and Glbl Env Chg,17,0
2023 - Fall,GEOL306,General Geomorphology,23,1
2023 - Fall,GEOL312,Earth Materials,24,0
2023 - Fall,GEOL332,Sedimentary Geology,21,0
2023 - Fall,GEOL335,Geology Field Methods II,23,0
2023 - Fall,GEOL380,Advanced Igneous Petrology Sem,14,1
2023 - Fall,GEOL380L,Hydrogeology,14,1
2023 - Fall,GERM306,Sex and Clss and Cltr Intrl Sh,10,1
2023 - Fall,GSP101,Geospatial Concepts,226,38
2023 - Fall,GSP216,Introduction To Remote Sensing,49,1
2023 - Fall,GSP270,Introduction To Gis,109,16
2023 - Fall,GSP316,Cartography,17,0
2023 - Fall,GSP326,Intermediate Remote Sensing,16,1
2023 - Fall,GSP370,Intermediate Gis,22,5
2023 - Fall,HED100,Sound Mind Sound Body,87,25
2023 - Fall,HED120,Rspnding To Emergencies-Cprfpr,30,0
2023 - Fall,HED231,Basic Human Nutrition,45,7
2023 - Fall,HED342,Nutrition Athletic Performance,20,0
2023 - Fall,HIST104,Western Civilization To 1650,11,1
2023 - Fall,HIST110,U.S. History To 1877,129,9
2023 - Fall,HIST111,U.S. History Since 1877,105,14
2023 - Fall,HIST200,World Cultures and Hist To 150,12,0
2023 - Fall,HIST210,Historical Methods,23,3
2023 - Fall,HIST300,The Era of World War I,35,2
2023 - Fall,HIST300R,"Era of Wwi, Research Seminar",16,2
2023 - Fall,HIST315,History and Civilization of Ro,22,1
2023 - Fall,HIST329,Imperial China,26,2
2023 - Fall,HIST391,"Buying and Believing,  Ads and",12,1
2023 - Fall,HIST393,Imperial China,16,2
2023 - Fall,HIST397,Sci Fi In The 20th Century,32,5
2023 - Fall,HIST420,Intrprtng Hist For Teachers,13,1
2023 - Fall,INTL220,Intro To Cultural Studies,12,0
2023 - Fall,INTL320,Career Workshop,11,0
2023 - Fall,JMC105,Intro To Mass Communication,31,1
2023 - Fall,JMC107,Media Tools,25,2
2023 - Fall,JMC120,Beginning Reporting,19,2
2023 - Fall,JMC134,Photojournalism and Photoshop,11,2
2023 - Fall,JMC154,Radio Production,26,3
2023 - Fall,JMC155,Krfh Workshop,37,1
2023 - Fall,JMC156,Video Production,17,5
2023 - Fall,JMC302,Mass Media and Popular Arts,39,2
2023 - Fall,JMC306,Mass Communication History,38,5
2023 - Fall,JMC309,Analyzing Mass Media Messages,33,2
2023 - Fall,JMC320,Public Affairs Reporting,11,0
2023 - Fall,JMC323,Public Relations,11,0
2023 - Fall,JMC325,Magazine Production Workshop,11,0
2023 - Fall,JMC327,Newspaper Lab,14,1
2023 - Fall,JMC332W,Media Ethics,39,2
2023 - Fall,JMC355,Advanced Krfh Workshop,14,0
2023 - Fall,JMC427,Advanced Multimedia Workshop,10,0
2023 - Fall,JMC480,Centennial Documentary,14,1
2023 - Fall,KINS165,Foundations of Kinesiology,42,0
2023 - Fall,KINS244,Medical Terminology,17,1
2023 - Fall,KINS379,Exercise Physiology,18,0
2023 - Fall,KINS385,Adapted Physical Education,38,0
2023 - Fall,KINS386,Structural Kinesiology,23,3
2023 - Fall,KINS460,Hpl Techniques,14,0
2023 - Fall,KINS474,Psychology of Sport and Exerci,31,2
2023 - Fall,KINS475,Elementary School P.E.,24,2
2023 - Fall,KINS483,Eval Techniques of Kinesiology,38,0
