ISO 8601 Date Time,Top of Conservation High (ac-ft),Top of Conservation High (ac-ft) notes,Top of Conservation (ac-ft),Top of Conservation (ac-ft) notes,Storage (ac-ft),Storage (ac-ft) notes,Elevation (ft-NGVD29),Elevation (ft-NGVD29) notes,Inflow (cfs),Inflow (cfs) notes,Outflow (cfs; 614 ft),Outflow (cfs; 614 ft) notes,Russian R @ Hopland (cfs; USGS),Russian R @ Hopland (cfs; USGS) notes,Precip @ Dam (in; 670 ft),Precip @ Dam (in; 670 ft) notes,Basin Precip,Basin Precip notes,Gross Pool,Gross Pool(elev),Russian R nr Ukiah (cfs),Russian R nr Ukiah (cfs) notes
2023-12-01T24:00:00-08:00,68400,0,68410,0,60129,0,732.43,0,53.41,0,165.01,0,179.18,0,0.15,0,-,-,116470,764.8,1.99,0
2023-12-02T24:00:00-08:00,68400,0,68410,0,59938,0,732.31,0,70.05,0,164.98,0,180.04,0,0.5,0,-,-,116470,764.8,3.52,0
2023-12-03T24:00:00-08:00,68400,0,68410,0,59730,0,732.18,0,62.02,0,165,0,185.85,0,0.08,0,-,-,116470,764.8,23.4,0
2023-12-04T24:00:00-08:00,68400,0,68410,0,59491,0,732.03,0,40.5,0,157.58,0,194.38,0,0.01,0,-,-,116470,764.8,27.3,0
2023-12-05T24:00:00-08:00,68400,0,68410,0,59284,0,731.9,0,52.21,0,153.93,0,182.65,0,0,0,-,-,116470,764.8,10.24,0
2023-12-06T24:00:00-08:00,68400,0,68410,0,59093,0,731.78,0,60.05,0,153.98,0,184.47,0,0.38,0,-,-,116470,764.8,7.89,0
2023-12-07T24:00:00-08:00,68400,0,68410,0,58919,0,731.67,0,67.96,0,153.92,0,196.02,0,0.15,0,-,-,116470,764.8,40.99,0
2023-12-08T24:00:00-08:00,68400,0,68410,0,58713,0,731.54,0,42.17,0,143.5,0,214.73,0,0.02,0,-,-,116470,764.8,52.92,0
2023-12-09T24:00:00-08:00,68400,0,68410,0,58507,0,731.41,0,37.59,0,138.54,0,188.4,0,0.01,0,-,-,116470,764.8,28.63,0
2023-12-10T24:00:00-08:00,68400,0,68410,0,58301,0,731.28,0,42.66,0,144,0,181.19,0,0,0,-,-,116470,764.8,15.03,0
2023-12-11T24:00:00-08:00,68400,0,68410,0,58064,0,731.13,0,34.73,0,151.09,0,179.56,0,0,0,-,-,116470,764.8,9.55,0
2023-12-12T24:00:00-08:00,68400,0,68410,0,57843,0,730.99,0,45.32,0,154,0,181.67,0,0.01,0,-,-,116470,764.8,6.87,0
2023-12-13T24:00:00-08:00,68400,0,68410,0,57607,0,730.84,0,40.73,0,153.96,0,179.84,0,0.01,0,-,-,116470,764.8,5.41,0
2023-12-14T24:00:00-08:00,68400,0,68410,0,57371,0,730.69,0,40.92,0,154.02,0,179.28,0,0.01,0,-,-,116470,764.8,4.5,0
2023-12-15T24:00:00-08:00,68400,0,68410,0,57135,0,730.54,0,38.03,0,154.02,0,179.07,0,0,0,-,-,116470,764.8,5.42,0
2023-12-16T24:00:00-08:00,68400,0,68410,0,56915,0,730.4,0,47.43,0,153.96,0,178.61,0,0,0,-,-,116470,764.8,5.94,0
2023-12-17T24:00:00-08:00,68400,0,68410,0,56727,0,730.28,0,59.88,0,153.93,0,180.08,0,0.39,0,-,-,116470,764.8,6.96,0
2023-12-18T24:00:00-08:00,68400,0,68410,0,57151,0,730.55,0,353.56,0,138.68,0,640.29,0,2.31,0,-,-,116470,764.8,478.22,0
