etag,kind,videoId,publishedAt,channelId,title,description,default_url,default_width,default_height,medium_url,medium_width,medium_height,high_url,high_width,high_height,channelTitle,liveBroadcastContent,publishTime,viewCount,likeCount
CUUYjiwuz2Eg8NUL3xka72xLL0I,youtube#video,fw9QWVUvpa8,2024-01-02T16:49:58Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Happy New Year from Cal Poly Humboldt,"This new year, may your journey be filled with wonder and exploration, the joy of beauty, and the embrace of family and friends.",https://i.ytimg.com/vi/fw9QWVUvpa8/default.jpg,120,90,https://i.ytimg.com/vi/fw9QWVUvpa8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/fw9QWVUvpa8/hqdefault.jpg,480,360,HumboldtOnline,none,2024-01-02T16:49:58Z,1748,38
IAOYSI6k-xeJlrEzSe_3AqSYHnA,youtube#video,W60D6UMHC9U,2023-11-09T19:56:08Z,UCg7Fdhrmwi8ZqakqiO3xPkg,New Major: Humboldt Geospatial Science &amp; Technology,"Geospatial Science & Technology is an interdisciplinary program between Geography, Environment & Spatial Analysis; Forestry, ...",https://i.ytimg.com/vi/W60D6UMHC9U/default.jpg,120,90,https://i.ytimg.com/vi/W60D6UMHC9U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/W60D6UMHC9U/hqdefault.jpg,480,360,HumboldtOnline,none,2023-11-09T19:56:08Z,184,2
gNBkinn4ZSlnlXFxlC8FxFPd82k,youtube#video,OqtqWymLE7o,2023-11-09T19:12:13Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Soccer Sendoff!,They're on their way! Join us in wishing Humboldt Women's Soccer good luck at ccaad semifinals! GO JACKS! Details: ...,https://i.ytimg.com/vi/OqtqWymLE7o/default.jpg,120,90,https://i.ytimg.com/vi/OqtqWymLE7o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/OqtqWymLE7o/hqdefault.jpg,480,360,HumboldtOnline,none,2023-11-09T19:12:13Z,152,3
lNsVFjVabWx0YI3RnjFH0aEpogY,youtube#video,pbuA-eb-krQ,2023-11-09T18:08:42Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Major in Cannabis Studies,Located in the epicenter of domestic cannabis cultivation. Grounded in the liberal arts. Dedicated to a stigma-free approach.,https://i.ytimg.com/vi/pbuA-eb-krQ/default.jpg,120,90,https://i.ytimg.com/vi/pbuA-eb-krQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/pbuA-eb-krQ/hqdefault.jpg,480,360,HumboldtOnline,none,2023-11-09T18:08:42Z,386,14
_yFl8adCLO1_VRzV5I_mJV3uKXs,youtube#video,Ld38owMHw6k,2023-10-30T18:24:10Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Humboldt Triathlon,"Biking farm roads in the Arcata Bottoms, running trails in the Community Forest and swimming the frigid waters of Humboldt Bay ...",https://i.ytimg.com/vi/Ld38owMHw6k/default.jpg,120,90,https://i.ytimg.com/vi/Ld38owMHw6k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Ld38owMHw6k/hqdefault.jpg,480,360,HumboldtOnline,none,2023-10-30T18:24:10Z,520,12
gSlP56Fpjsp13r7v_36Toz1A70I,youtube#video,K82XKtAXA6Q,2023-10-09T18:58:59Z,UCg7Fdhrmwi8ZqakqiO3xPkg,New Major - Individualized Degree Plan,"As the landscape of careers constantly changes, so does the need for college degree programs. Adapting to that change is the ...",https://i.ytimg.com/vi/K82XKtAXA6Q/default.jpg,120,90,https://i.ytimg.com/vi/K82XKtAXA6Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/K82XKtAXA6Q/hqdefault.jpg,480,360,HumboldtOnline,none,2023-10-09T18:58:59Z,354,3
o0dJlivk7ubf9R7UtkfieKT9nX4,youtube#video,n8hKMYXMUNk,2023-09-25T16:32:59Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Fire Science at Humboldt,"The news has been inescapable: wildfires in California and across the West have become larger, more severe, more destructive, ...",https://i.ytimg.com/vi/n8hKMYXMUNk/default.jpg,120,90,https://i.ytimg.com/vi/n8hKMYXMUNk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/n8hKMYXMUNk/hqdefault.jpg,480,360,HumboldtOnline,none,2023-09-25T16:32:59Z,515,8
561fT8FWaa843RXCU1Bze15oDmw,youtube#video,AjD6QKN9fsM,2023-09-05T17:05:16Z,UCg7Fdhrmwi8ZqakqiO3xPkg,CAL FIRE + Cal Poly Humboldt,Cal Poly Humboldt and CAL FIRE have collaborated over the years to help the next generation of fire scientists and foresters.,https://i.ytimg.com/vi/AjD6QKN9fsM/default.jpg,120,90,https://i.ytimg.com/vi/AjD6QKN9fsM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AjD6QKN9fsM/hqdefault.jpg,480,360,HumboldtOnline,none,2023-09-05T17:05:16Z,594,12
sqI5Gi9L-lbUn9AacaG08hR7KZ8,youtube#video,RozpLq4L5i8,2023-08-22T22:31:55Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Wildlife + Agriculture: Looking for a Win-Win,"In exchange for a comfortable home, these birds pay the rent—in rodents and insects. Amid the vineyards of Napa Valley, Wildlife ...",https://i.ytimg.com/vi/RozpLq4L5i8/default.jpg,120,90,https://i.ytimg.com/vi/RozpLq4L5i8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/RozpLq4L5i8/hqdefault.jpg,480,360,HumboldtOnline,none,2023-08-22T22:31:55Z,340,10
qFBD_5_6sDOy0Zc8v6ztUeporyg,youtube#video,_V7S0NRr6nQ,2023-08-19T00:46:35Z,UCg7Fdhrmwi8ZqakqiO3xPkg,Move-In and Orientation Week!,"New students have been busy - and they're just getting started. From move-in day to meeting their Learning Communities, ...",https://i.ytimg.com/vi/_V7S0NRr6nQ/default.jpg,120,90,https://i.ytimg.com/vi/_V7S0NRr6nQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_V7S0NRr6nQ/hqdefault.jpg,480,360,HumboldtOnline,none,2023-08-19T00:46:35Z,2709,8
